real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
FS	1476	0	0	69	10	100	Parents = 10 & Loci = 100	1476	1	0	0
HS	0	1338	676	69	10	100	Parents = 10 & Loci = 100	2014	0	0.664	0.336
UR	0	0	6410	69	10	100	Parents = 10 & Loci = 100	6410	0	0	1
FS	2478	0	0	6	10	100	Parents = 10 & Loci = 100	2478	1	0	0
HS	0	836	940	6	10	100	Parents = 10 & Loci = 100	1776	0	0.471	0.529
UR	0	0	5646	6	10	100	Parents = 10 & Loci = 100	5646	0	0	1
FS	866	0	0	70	10	100	Parents = 10 & Loci = 100	866	1	0	0
HS	0	2598	0	70	10	100	Parents = 10 & Loci = 100	2598	0	1	0
UR	0	0	6436	70	10	100	Parents = 10 & Loci = 100	6436	0	0	1
FS	1316	0	0	71	10	100	Parents = 10 & Loci = 100	1316	1	0	0
HS	0	1976	0	71	10	100	Parents = 10 & Loci = 100	1976	0	1	0
UR	0	0	6608	71	10	100	Parents = 10 & Loci = 100	6608	0	0	1
FS	1202	0	0	72	10	100	Parents = 10 & Loci = 100	1202	1	0	0
HS	0	2318	0	72	10	100	Parents = 10 & Loci = 100	2318	0	1	0
UR	0	0	6380	72	10	100	Parents = 10 & Loci = 100	6380	0	0	1
FS	1258	0	0	73	10	100	Parents = 10 & Loci = 100	1258	1	0	0
HS	0	1870	0	73	10	100	Parents = 10 & Loci = 100	1870	0	1	0
UR	0	0	6772	73	10	100	Parents = 10 & Loci = 100	6772	0	0	1
FS	1270	0	0	74	10	100	Parents = 10 & Loci = 100	1270	1	0	0
HS	0	2508	0	74	10	100	Parents = 10 & Loci = 100	2508	0	1	0
UR	0	0	6122	74	10	100	Parents = 10 & Loci = 100	6122	0	0	1
FS	1162	40	0	75	10	100	Parents = 10 & Loci = 100	1202	0.967	0.033	0
HS	0	2336	14	75	10	100	Parents = 10 & Loci = 100	2350	0	0.994	0.006
UR	0	0	6348	75	10	100	Parents = 10 & Loci = 100	6348	0	0	1
FS	1226	0	0	76	10	100	Parents = 10 & Loci = 100	1226	1	0	0
HS	0	2072	0	76	10	100	Parents = 10 & Loci = 100	2072	0	1	0
UR	0	0	6602	76	10	100	Parents = 10 & Loci = 100	6602	0	0	1
FS	1840	0	0	77	10	100	Parents = 10 & Loci = 100	1840	1	0	0
HS	0	2778	0	77	10	100	Parents = 10 & Loci = 100	2778	0	1	0
UR	0	0	5282	77	10	100	Parents = 10 & Loci = 100	5282	0	0	1
FS	1120	0	0	78	10	100	Parents = 10 & Loci = 100	1120	1	0	0
HS	0	2332	0	78	10	100	Parents = 10 & Loci = 100	2332	0	1	0
UR	0	0	6448	78	10	100	Parents = 10 & Loci = 100	6448	0	0	1
FS	1690	0	0	7	10	100	Parents = 10 & Loci = 100	1690	1	0	0
HS	0	1266	1178	7	10	100	Parents = 10 & Loci = 100	2444	0	0.518	0.482
UR	0	0	5766	7	10	100	Parents = 10 & Loci = 100	5766	0	0	1
FS	1322	0	0	80	10	100	Parents = 10 & Loci = 100	1322	1	0	0
HS	0	2326	0	80	10	100	Parents = 10 & Loci = 100	2326	0	1	0
UR	0	0	6252	80	10	100	Parents = 10 & Loci = 100	6252	0	0	1
FS	1146	0	0	81	10	100	Parents = 10 & Loci = 100	1146	1	0	0
HS	0	2374	0	81	10	100	Parents = 10 & Loci = 100	2374	0	1	0
UR	0	0	6380	81	10	100	Parents = 10 & Loci = 100	6380	0	0	1
FS	1566	0	0	82	10	100	Parents = 10 & Loci = 100	1566	1	0	0
HS	0	1926	0	82	10	100	Parents = 10 & Loci = 100	1926	0	1	0
UR	0	0	6408	82	10	100	Parents = 10 & Loci = 100	6408	0	0	1
FS	1524	0	0	83	10	100	Parents = 10 & Loci = 100	1524	1	0	0
HS	0	1652	0	83	10	100	Parents = 10 & Loci = 100	1652	0	1	0
UR	0	0	6724	83	10	100	Parents = 10 & Loci = 100	6724	0	0	1
FS	1744	28	0	84	10	100	Parents = 10 & Loci = 100	1772	0.984	0.016	0
HS	0	314	2194	84	10	100	Parents = 10 & Loci = 100	2508	0	0.125	0.875
UR	0	0	5620	84	10	100	Parents = 10 & Loci = 100	5620	0	0	1
FS	954	0	0	85	10	100	Parents = 10 & Loci = 100	954	1	0	0
HS	0	3038	0	85	10	100	Parents = 10 & Loci = 100	3038	0	1	0
